Id,type,POINT_X,POINT_Y
1221,geoglyphs,-67.695376,-10.6099
1222,geoglyphs,-67.687381,-10.596194
1223,geoglyphs,-67.663396,-10.595052
1224,geoglyphs,-67.66511,-10.568783
1225,geoglyphs,-67.661683,-10.528237
1226,geoglyphs,-67.664539,-10.523668
1227,geoglyphs,-67.631988,-10.525952
1228,geoglyphs,-67.706798,-10.521955
1229,geoglyphs,-67.679957,-10.459708
1230,geoglyphs,-67.706798,-10.439721
1231,geoglyphs,-67.73992,-10.467132
1232,geoglyphs,-67.760478,-10.450571
1233,geoglyphs,-67.768473,-10.450571
1234,geoglyphs,-67.725643,-10.415736
1235,geoglyphs,-67.713651,-10.392893
1236,geoglyphs,-67.566314,-10.435152
1237,geoglyphs,-67.598294,-10.406599
1238,geoglyphs,-67.59087,-10.380329
1239,geoglyphs,-67.719932,-10.366624
1240,geoglyphs,-67.713651,-10.351205
1241,geoglyphs,-67.688524,-10.362626
1242,geoglyphs,-67.788461,-10.342639
1243,geoglyphs,-67.788461,-10.323222
1244,geoglyphs,-67.795885,-10.322651
1245,geoglyphs,-67.807306,-10.28496
1246,geoglyphs,-67.723359,-10.257549
1247,geoglyphs,-67.715364,-10.262689
1248,geoglyphs,-67.696519,-10.266686
1249,geoglyphs,-67.679386,-10.260404
1250,geoglyphs,-67.685668,-10.262118
1251,geoglyphs,-67.666823,-10.244986
1252,geoglyphs,-67.693092,-10.303235
1253,geoglyphs,-67.653117,-10.295811
1254,geoglyphs,-67.649691,-10.297524
1255,geoglyphs,-67.603434,-10.328933
1256,geoglyphs,-67.602292,-10.345494
1257,geoglyphs,-67.605718,-10.355773
1258,geoglyphs,-67.546898,-10.322651
1259,geoglyphs,-67.539474,-10.324935
1260,geoglyphs,-67.542901,-10.331217
1261,geoglyphs,-67.501212,-10.308945
1262,geoglyphs,-67.535477,-10.270113
1263,geoglyphs,-67.595439,-10.240417
1264,geoglyphs,-67.657686,-10.209008
1265,geoglyphs,-67.658257,-10.202726
1266,geoglyphs,-67.721075,-10.19416
1267,geoglyphs,-67.859845,-10.157041
1268,geoglyphs,-67.799882,-10.15647
1269,geoglyphs,-67.528624,-10.182739
1270,geoglyphs,-67.583447,-10.150188
1271,geoglyphs,-67.78789,-10.110213
1272,geoglyphs,-67.804451,-10.077091
1273,geoglyphs,-67.728498,-10.029121
1274,geoglyphs,-67.65997,-10.098791
1275,geoglyphs,-67.662254,-10.113639
1276,geoglyphs,-67.617711,-10.05539
1277,geoglyphs,-67.665681,-9.985719
1278,geoglyphs,-67.666823,-9.978867
1279,geoglyphs,-67.673105,-9.98058
1280,geoglyphs,-67.673676,-9.915478
1281,geoglyphs,-67.598865,-9.934323
1282,geoglyphs,-67.571454,-10.081659
1283,geoglyphs,-67.556606,-10.078233
1284,geoglyphs,-67.546327,-10.070238
1285,geoglyphs,-67.548611,-10.07652
1286,geoglyphs,-67.509207,-10.090796
1287,geoglyphs,-67.53719,-10.038258
1288,geoglyphs,-67.536619,-10.035403
1289,geoglyphs,-67.513776,-10.032547
1290,geoglyphs,-67.508636,-10.025123
1291,geoglyphs,-67.50007,-9.987433
1292,geoglyphs,-67.497215,-9.962877
1293,geoglyphs,-67.521771,-9.885211
1294,geoglyphs,-67.534906,-9.870934
1295,geoglyphs,-67.939224,-9.923473
1296,geoglyphs,-67.996797,-10.079504
1297,geoglyphs,-68.00365,-10.07208
1298,geoglyphs,-68.013358,-10.077219
1299,geoglyphs,-68.012216,-10.010975
1300,geoglyphs,-67.900857,-9.849362
1301,geoglyphs,-67.748952,-9.827661
1302,geoglyphs,-67.821478,-9.76313
1303,geoglyphs,-67.917989,-9.696886
1304,geoglyphs,-67.791783,-9.626073
1305,geoglyphs,-67.759803,-9.619221
1306,geoglyphs,-67.724967,-9.571822
1307,geoglyphs,-68.128714,-9.682609
1308,geoglyphs,-68.186202,-10.054757
1309,geoglyphs,-68.170586,-9.417449
1310,geoglyphs,-67.970141,-9.419162
1311,geoglyphs,-67.630715,-9.49599
1312,geoglyphs,-67.634427,-9.490279
1313,geoglyphs,-67.669091,-9.698967
1314,geoglyphs,-67.536603,-9.761785
1315,geoglyphs,-67.513379,-9.809374
1316,geoglyphs,-67.489724,-9.96468
1317,geoglyphs,-67.480587,-9.960683
1318,geoglyphs,-67.476304,-9.916139
1319,geoglyphs,-67.478588,-9.914712
1320,geoglyphs,-67.445466,-9.880447
1321,geoglyphs,-67.44204,-9.883874
1322,geoglyphs,-67.418912,-9.881304
1323,geoglyphs,-67.42348,-9.897008
1324,geoglyphs,-67.390644,-9.873309
1325,geoglyphs,-67.381792,-9.883017
1326,geoglyphs,-67.399781,-9.944122
1327,geoglyphs,-67.349526,-9.90329
1328,geoglyphs,-67.34867,-9.843613
1329,geoglyphs,-67.374654,-9.821913
1330,geoglyphs,-67.375796,-9.792788
1331,geoglyphs,-67.3461,-9.786506
1332,geoglyphs,-67.350669,-9.766233
1333,geoglyphs,-67.409917,-10.003799
1334,geoglyphs,-67.327683,-9.954401
1335,geoglyphs,-67.283996,-9.961254
1336,geoglyphs,-67.25687,-10.032638
1337,geoglyphs,-67.32083,-10.07404
1338,geoglyphs,-67.313121,-10.088888
1339,geoglyphs,-67.308267,-10.094028
1340,geoglyphs,-67.373369,-10.102023
1341,geoglyphs,-67.370228,-10.096312
1342,geoglyphs,-67.423908,-10.081179
1343,geoglyphs,-67.415913,-10.068044
1344,geoglyphs,-67.412487,-10.071185
1345,geoglyphs,-67.222035,-10.064903
1346,geoglyphs,-67.495768,-10.132385
1347,geoglyphs,-67.491009,-10.145234
1348,geoglyphs,-67.390596,-10.168077
1349,geoglyphs,-67.372512,-10.214714
1350,geoglyphs,-67.368705,-10.224232
1351,geoglyphs,-67.419625,-10.37271
1352,geoglyphs,-67.274478,-10.218997
1353,geoglyphs,-67.273051,-10.165221
1354,geoglyphs,-67.209138,-10.129529
1355,geoglyphs,-67.219322,-10.309321
1356,geoglyphs,-67.18087,-10.251453
1357,geoglyphs,-67.177825,-10.217569
1358,geoglyphs,-67.171352,-10.204625
1359,geoglyphs,-67.158027,-10.220615
1360,geoglyphs,-67.128712,-10.212239
1361,geoglyphs,-67.124144,-10.209574
1362,geoglyphs,-67.12224,-10.232037
1363,geoglyphs,-67.189595,-9.989141
1364,geoglyphs,-67.162564,-10.016553
1365,geoglyphs,-67.141244,-10.013888
1366,geoglyphs,-67.105838,-10.035208
1367,geoglyphs,-67.023223,-9.945359
1368,geoglyphs,-67.100127,-9.805256
1369,geoglyphs,-67.095939,-9.809825
1370,geoglyphs,-67.233758,-9.853988
1371,geoglyphs,-67.313501,-9.770786
1372,geoglyphs,-67.26477,-9.741852
1373,geoglyphs,-67.229744,-9.72472
1374,geoglyphs,-67.225176,-9.729669
1375,geoglyphs,-67.213754,-9.69274
1376,geoglyphs,-67.197384,-9.744897
1377,geoglyphs,-67.193957,-9.763172
1378,geoglyphs,-67.13114,-9.723958
1379,geoglyphs,-67.124287,-9.731953
1380,geoglyphs,-67.123906,-9.723577
1381,geoglyphs,-67.125048,-9.714821
1382,geoglyphs,-67.135327,-9.69845
1383,geoglyphs,-66.910135,-10.027339
1384,geoglyphs,-66.85912,-9.889521
1385,geoglyphs,-66.950491,-9.783683
1386,geoglyphs,-67.062421,-9.730383
