Id,type,POINT_X,POINT_Y
663,ADE,-56.724208,-2.56891
664,ADE,-59.533876,-2.922974
665,ADE,-59.465347,-2.477539
666,ADE,-59.990732,-2.854446
667,ADE,-59.990732,-2.591753
668,ADE,-60.424746,-2.660282
669,ADE,-60.596067,-2.420432
670,ADE,-61.144295,-2.740232
671,ADE,-60.835917,-2.740232
672,ADE,-61.144295,-2.443275
673,ADE,-60.847338,-2.283375
674,ADE,-60.37906,-1.952154
675,ADE,-60.002154,-1.495298
676,ADE,-61.155716,-1.803676
677,ADE,-61.384145,-2.032104
678,ADE,-61.772473,-2.032104
679,ADE,-61.772473,-1.712304
680,ADE,-61.34988,-1.620933
681,ADE,-61.544045,-1.335398
682,ADE,-62.035165,-1.335398
683,ADE,-62.343543,-1.255448
684,ADE,-62.297858,-1.049862
685,ADE,-62.645259,-1.05938
686,ADE,-62.850844,-0.796688
687,ADE,-63.022166,-0.830952
688,ADE,-63.627501,-0.454045
689,ADE,-63.421915,-0.533995
690,ADE,-63.250594,-0.648209
691,ADE,-64.529792,-0.351253
692,ADE,-61.742967,0.459668
693,ADE,-60.79499,2.458415
694,ADE,-60.144921,-1.584765
695,ADE,-56.451998,-4.582886
696,ADE,-56.185498,-4.668547
697,ADE,-56.233088,-4.240244
698,ADE,-55.814302,-4.363976
699,ADE,-55.928517,-4.030851
700,ADE,-55.633463,-4.059405
701,ADE,-55.271785,-2.546068
702,ADE,-54.938661,-2.612692
703,ADE,-54.938661,-2.422336
704,ADE,-54.320001,-2.555585
705,ADE,-54.576983,-2.479443
706,ADE,-54.091573,-1.946443
707,ADE,-55.976106,-1.632354
708,ADE,-56.366337,-1.470551
709,ADE,-56.994515,-1.108873
710,ADE,-57.19439,-0.823338
711,ADE,-56.84223,-0.766231
712,ADE,-56.775605,-0.537802
713,ADE,-56.823194,-0.994659
714,ADE,-53.413268,-3.537827
715,ADE,-53.289536,-3.61397
716,ADE,-52.575697,-3.69963
717,ADE,-52.185466,-3.166631
718,ADE,-52.090287,-3.08097
719,ADE,-51.443074,-2.262436
720,ADE,-51.690538,-2.157739
721,ADE,-51.68102,-1.748472
722,ADE,-51.32886,-1.653294
723,ADE,-51.500181,-1.919793
724,ADE,-51.41452,-0.292242
725,ADE,-51.757163,-0.263689
726,ADE,-52.042698,-0.30176
727,ADE,-52.423412,0.078954
728,ADE,-49.948772,-0.882348
729,ADE,-49.653719,-1.063187
730,ADE,-49.368184,-1.063187
731,ADE,-49.529987,-0.796688
732,ADE,-49.196863,-0.891866
733,ADE,-49.092166,-0.482599
734,ADE,-49.853594,-2.966756
735,ADE,-49.596612,-3.433131
736,ADE,-49.653719,-3.69963
737,ADE,-48.939881,-3.004828
738,ADE,-48.397364,-1.386794
739,ADE,-62.101632,4.011251
740,ADE,-51.100781,2.111236
741,ADE,-52.303836,2.583321
742,ADE,-45.43338,-1.558845
743,ADE,-46.946717,-0.987774
744,ADE,-48.145966,-4.480823
745,ADE,-48.983536,-4.623591
746,ADE,-49.487982,-4.852019
747,ADE,-49.430875,-5.080447
748,ADE,-49.36425,-5.299358
749,ADE,-49.107268,-5.346947
750,ADE,-49.09775,-5.013822
751,ADE,-49.906767,-6.022714
752,ADE,-51.743711,-6.945945
753,ADE,-52.989121,-12.494848
754,ADE,-53.240392,-12.601448
755,ADE,-53.366027,-12.411091
756,ADE,-53.141406,-12.235962
757,ADE,-53.400292,-11.91997
758,ADE,-53.445977,-12.163627
764,ADE,-50.820956,-14.615995
765,ADE,-58.121618,-7.353324
766,ADE,-58.190147,-7.155353
767,ADE,-55.89825,-6.264483
768,ADE,-55.677436,-6.340626
769,ADE,-55.464236,-6.447226
770,ADE,-55.464236,-6.607125
771,ADE,-55.433779,-6.797482
772,ADE,-55.365251,-6.980225
773,ADE,-55.372865,-7.155353
774,ADE,-55.304336,-7.29241
775,ADE,-55.258651,-7.45231
776,ADE,-55.197736,-7.604595
777,ADE,-55.152051,-7.734038
778,ADE,-55.121594,-7.992923
779,ADE,-55.098751,-8.411709
780,ADE,-55.098751,-8.510694
781,ADE,-51.702784,-6.789868
782,ADE,-51.264963,-6.470068
783,ADE,-51.131714,-6.393926
784,ADE,-51.074606,-6.517658
785,ADE,-51.017499,-6.650907
786,ADE,-55.862082,-5.451659
787,ADE,-55.928707,-5.356481
788,ADE,-56.204724,-4.985285
789,ADE,-56.899527,-5.213713
790,ADE,-56.823384,-5.109017
791,ADE,-56.813866,-4.937695
792,ADE,-56.680617,-4.709267
793,ADE,-56.57592,-4.709267
794,ADE,-55.357636,-3.538572
795,ADE,-54.872226,-3.386287
796,ADE,-52.530837,-4.128679
797,ADE,-52.20723,-4.128679
798,ADE,-52.235783,-4.366625
799,ADE,-52.197712,-4.699749
800,ADE,-52.254819,-4.547464
801,ADE,-52.378551,-4.242893
802,ADE,-50.513054,-5.794301
803,ADE,-50.465464,-5.879962
804,ADE,-49.913429,-5.918033
805,ADE,-50.056197,-6.10839
806,ADE,-50.094269,-6.470068
807,ADE,-49.875358,-6.489104
808,ADE,-50.360768,-6.479586
809,ADE,-60.16732,-7.929471
810,ADE,-60.015035,-8.24356
811,ADE,-59.834196,-8.357774
812,ADE,-59.510589,-8.491024
813,ADE,-59.434446,-8.614756
814,ADE,-59.377339,-8.719452
815,ADE,-57.787859,-9.814004
816,ADE,-57.445217,-8.748006
817,ADE,-57.311967,-8.814631
818,ADE,-57.140646,-8.94788
819,ADE,-57.007396,-9.128719
820,ADE,-56.874146,-9.271487
821,ADE,-56.588611,-9.385701
822,ADE,-56.426807,-9.461844
823,ADE,-56.350665,-9.518951
824,ADE,-56.626682,-9.604612
825,ADE,-55.351291,-10.518325
826,ADE,-55.741523,-10.822896
827,ADE,-55.760558,-10.994217
828,ADE,-55.541648,-11.584323
829,ADE,-54.865881,-9.823522
830,ADE,-51.74847,-9.33367
831,ADE,-60.94699,-13.450614
832,ADE,-61.929232,-13.351628
833,ADE,-62.188117,-13.031829
834,ADE,-62.31756,-13.191728
835,ADE,-62.842945,-12.8567
836,ADE,-63.002844,-12.673958
837,ADE,-63.177973,-12.567358
838,ADE,-63.04853,-12.552129
839,ADE,-63.436858,-12.171416
840,ADE,-63.665286,-12.110501
841,ADE,-63.908943,-12.224716
842,ADE,-63.855643,-12.460758
843,ADE,-64.144986,-12.521672
844,ADE,-64.144986,-12.354158
845,ADE,-64.068843,-12.163801
846,ADE,-64.434328,-12.262787
847,ADE,-64.822656,-12.034359
848,ADE,-64.929256,-11.882073
849,ADE,-64.594228,-12.323701
850,ADE,-65.09677,-11.653645
851,ADE,-65.264284,-11.280545
852,ADE,-65.165299,-10.953132
853,ADE,-65.271898,-10.732318
854,ADE,-65.279513,-10.496275
855,ADE,-65.294741,-10.374447
856,ADE,-65.195756,-10.18409
857,ADE,-63.200816,-10.29069
858,ADE,-62.42416,-10.473432
859,ADE,-62.294717,-10.389675
860,ADE,-62.348017,-10.778003
861,ADE,-61.495218,-11.28816
862,ADE,-61.738875,-11.067346
863,ADE,-61.868317,-10.770389
864,ADE,-62.012989,-10.800846
865,ADE,-61.990146,-11.242474
866,ADE,-61.700803,-10.557189
867,ADE,-61.898775,-10.473432
868,ADE,-61.73126,-10.283075
869,ADE,-61.830246,-10.07749
870,ADE,-61.906389,-9.909976
871,ADE,-62.195731,-9.719619
872,ADE,-61.822632,-9.689162
873,ADE,-62.020603,-9.993733
874,ADE,-61.761718,-9.407434
875,ADE,-63.019342,-9.954773
876,ADE,-63.066931,-9.564542
877,ADE,-63.428609,-9.574059
878,ADE,-63.333431,-9.231417
879,ADE,-63.133556,-9.212381
880,ADE,-63.24777,-9.012507
881,ADE,-63.666555,-9.155274
882,ADE,-63.561859,-8.9554
883,ADE,-63.24777,-8.793596
